Character Number	GeneID	Genename	EQ IC	Entity IC	Evidence
2	ZDB-GENE-030131-2908	cyp26b1	1	0.92	1
2	ZDB-GENE-991124-7	tbx5a	1	0.69	3
1	ZDB-GENE-991124-7	tbx5a	1	0.68	3
1	ZDB-GENE-980526-364	evx1	1	0.61	3
1	ZDB-GENE-001103-1	sox9a	1	0.87	4
2	ZDB-GENE-001103-1	sox9a	1	0.73	4
1	ZDB-GENE-040708-1	prdm5	1	1	N/A
1	ZDB-GENE-070117-1249	unm_t30539	1	1	N/A
2	ZDB-GENE-060110-1	fgf20a	1	1	N/A
2	ZDB-GENE-990714-16	ahr2	1	0.92	N/A
1	ZDB-GENE-030219-90	bbs7	1	0.87	N/A
1	ZDB-GENE-071119-2	nes	1	0.71	N/A
4	ZDB-GENE-021003-1	acvrl1	1	0.71	N/A
4	ZDB-GENE-071119-2	nes	1	0.71	N/A
2	ZDB-GENE-030219-90	bbs7	1	0.7	N/A
1	ZDB-GENE-060110-1	fgf20a	1	0.69	N/A
1	ZDB-GENE-070117-462	unm_tl43f	1	0.69	N/A
1	ZDB-GENE-120123-27	unm_tft72	1	0.69	N/A
1	ZDB-GENE-120123-6	bka	1	0.69	N/A
1	ZDB-GENE-990715-10	skib	1	0.69	N/A
2	ZDB-GENE-120123-27	unm_tft72	1	0.69	N/A
2	ZDB-GENE-120123-6	bka	1	0.69	N/A
2	ZDB-GENE-990715-10	skib	1	0.69	N/A
1	ZDB-GENE-120123-7	duk	1	0.68	N/A
1	ZDB-GENE-000605-2	runx3	1	0.57	N/A
1	ZDB-GENE-040901-1	furina	1	0.57	N/A
2	ZDB-GENE-061116-1	foxe1	1	0.55	N/A
1	ZDB-GENE-020507-3	vangl2	1	0.54	N/A
2	ZDB-GENE-020507-3	vangl2	1	0.54	N/A
1	ZDB-GENE-040426-731	brpf1	1	0.52	N/A
1	ZDB-GENE-070117-1384	unm_t30620	1	0.52	N/A
4	ZDB-GENE-040901-1	furina	1	0.52	N/A
2	ZDB-GENE-070117-38	aus	1	0.5	N/A
2	ZDB-GENE-070521-2	ahctf1	1	0.5	N/A
1	ZDB-GENE-021022-3	kat6a	1	0.49	N/A
2	ZDB-GENE-030131-3776	ptena	1	0.34	N/A
4	ZDB-GENE-990603-1	cse1l	1	0.28	N/A
4	ZDB-GENE-010302-1	foxc1a	1	0.25	N/A
1	ZDB-GENE-030131-2908	cyp26b1	0.92	0.69	1
4	ZDB-GENE-041124-3	ext2	0.92	0.7	2
2	ZDB-GENE-980526-166	shha	0.92	0.73	3
2	ZDB-GENE-040625-53	slc12a2	0.92	0.92	N/A
2	ZDB-GENE-070321-1	osr1	0.92	0.92	N/A
2	ZDB-GENE-021115-2	trpm7	0.92	0.87	N/A
2	ZDB-GENE-070912-179	chd7	0.92	0.87	N/A
2	ZDB-GENE-030723-3	tgfb2	0.92	0.81	N/A
2	ZDB-GENE-990415-208	pdgfra	0.92	0.81	N/A
4	ZDB-GENE-030723-3	tgfb2	0.92	0.81	N/A
4	ZDB-GENE-990415-208	pdgfra	0.92	0.81	N/A
2	ZDB-GENE-070117-2173	lit	0.92	0.79	N/A
2	ZDB-GENE-000920-1	edn1	0.92	0.73	N/A
2	ZDB-GENE-980526-399	pax9	0.92	0.73	N/A
4	ZDB-GENE-990706-8	gli2a	0.92	0.7	N/A
1	ZDB-GENE-040426-2882	olfm2a	0.92	0.66	N/A
1	ZDB-GENE-070117-187	unm_tq253g	0.92	0.66	N/A
2	ZDB-GENE-041014-1	met	0.92	0.63	N/A
2	ZDB-GENE-030814-2	tp73	0.92	0.55	N/A
4	ZDB-GENE-001207-3	arnt2	0.92	0.54	N/A
4	ZDB-GENE-030130-1	epb41b	0.92	0.54	N/A
4	ZDB-GENE-980526-321	nkx2.5	0.92	0.45	N/A
4	ZDB-GENE-990415-179	nkx2.7	0.92	0.45	N/A
1	ZDB-GENE-070117-2154	krm	0.92	0.39	N/A
4	ZDB-GENE-050417-383	stk11	0.92	0.28	N/A
4	ZDB-GENE-990615-5	tbx16	0.92	0.25	N/A
2	ZDB-GENE-041124-3	ext2	0.87	0.73	2
1	ZDB-GENE-041124-3	ext2	0.87	0.7	2
1	ZDB-GENE-980526-166	shha	0.87	0.87	3
1	ZDB-GENE-030715-1	fgf10a	0.87	0.81	3
2	ZDB-GENE-030715-1	fgf10a	0.87	0.81	3
2	ZDB-GENE-030131-9102	col1a1a	0.87	0.69	3
2	ZDB-GENE-990415-72	fgf8a	0.87	0.52	3
2	ZDB-GENE-990415-49	dlx5a	0.87	0.5	3
2	ZDB-GENE-100119-1	col27a1a	0.87	0.87	N/A
1	ZDB-GENE-030723-3	tgfb2	0.87	0.81	N/A
1	ZDB-GENE-061013-95	hdac4	0.87	0.81	N/A
2	ZDB-GENE-030505-1	foxi1	0.87	0.79	N/A
2	ZDB-GENE-030805-5	tbx1	0.87	0.79	N/A
2	ZDB-GENE-030131-2193	prdm1a	0.87	0.73	N/A
2	ZDB-GENE-040426-731	brpf1	0.87	0.73	N/A
1	ZDB-GENE-030131-2193	prdm1a	0.87	0.7	N/A
2	ZDB-GENE-050107-6	eda	0.87	0.7	N/A
2	ZDB-GENE-070117-2062	edar	0.87	0.7	N/A
2	ZDB-GENE-980526-227	acvr2aa	0.87	0.7	N/A
1	ZDB-GENE-020416-5	tbx6	0.87	0.69	N/A
1	ZDB-GENE-070912-274	col8a1a	0.87	0.69	N/A
2	ZDB-GENE-020416-5	tbx6	0.87	0.69	N/A
2	ZDB-GENE-060818-1	bmp1a	0.87	0.69	N/A
2	ZDB-GENE-070912-274	col8a1a	0.87	0.69	N/A
1	ZDB-GENE-021031-5	smoc2	0.87	0.64	N/A
4	ZDB-GENE-040708-1	prdm5	0.87	0.61	N/A
1	ZDB-GENE-030321-1	gli1	0.87	0.57	N/A
2	ZDB-GENE-030616-594	plcb3	0.87	0.55	N/A
1	ZDB-GENE-060429-1	pold1	0.87	0.53	N/A
1	ZDB-GENE-030131-4827	hhip	0.87	0.5	N/A
1	ZDB-GENE-030131-6560	boc	0.87	0.5	N/A
1	ZDB-GENE-020122-1	meis1	0.87	0.45	N/A
4	ZDB-GENE-980526-87	wnt5b	0.87	0.45	N/A
1	ZDB-GENE-020731-6	fmr1	0.87	0.43	N/A
1	ZDB-GENE-041014-73	dll4	0.87	0.39	N/A
1	ZDB-GENE-070117-1057	unm_t30292	0.87	0.39	N/A
4	ZDB-GENE-030219-90	bbs7	0.87	0.33	N/A
1	ZDB-GENE-070117-1399	unm_t30435	0.87	0.25	N/A
1	ZDB-GENE-070117-1434	unm_t30622	0.87	0.25	N/A
1	ZDB-GENE-070117-1885	unm_t30955	0.87	0.25	N/A
2	ZDB-GENE-011128-4	jag1b	0.83	0.81	N/A
2	ZDB-GENE-050522-28	barx1	0.83	0.81	N/A
2	ZDB-GENE-021003-1	acvrl1	0.83	0.71	N/A
1	ZDB-GENE-000920-1	edn1	0.83	0.7	N/A
1	ZDB-GENE-980526-89	smo	0.83	0.7	N/A
1	ZDB-GENE-100119-1	col27a1a	0.83	0.69	N/A
1	ZDB-GENE-030404-2	mib	0.83	0.61	N/A
4	ZDB-GENE-020416-5	tbx6	0.83	0.61	N/A
2	ZDB-GENE-070117-2105	apa	0.83	0.59	N/A
2	ZDB-GENE-070117-2145	kim	0.83	0.59	N/A
2	ZDB-GENE-070117-2317	rix	0.83	0.59	N/A
1	ZDB-GENE-030616-594	plcb3	0.83	0.57	N/A
2	ZDB-GENE-000626-1	tnnt2a	0.83	0.54	N/A
2	ZDB-GENE-040426-1469	onecut1	0.83	0.54	N/A
2	ZDB-GENE-070117-2515	clo	0.83	0.54	N/A
1	ZDB-GENE-000329-4	notch2	0.83	0.52	N/A
1	ZDB-GENE-011128-4	jag1b	0.83	0.52	N/A
1	ZDB-GENE-980526-196	ptch1	0.83	0.52	N/A
2	ZDB-GENE-040901-1	furina	0.83	0.52	N/A
1	ZDB-GENE-070117-2512	chn	0.83	0.5	N/A
2	ZDB-GENE-000208-25	bmp7a	0.83	0.5	N/A
2	ZDB-GENE-030131-341	hmgb1a	0.83	0.5	N/A
2	ZDB-GENE-030131-6560	boc	0.83	0.5	N/A
2	ZDB-GENE-070117-2179	lof	0.83	0.5	N/A
2	ZDB-GENE-090826-1	prp	0.83	0.5	N/A
2	ZDB-GENE-990415-8	pax2a	0.83	0.5	N/A
2	ZDB-GENE-991207-1	cdh4	0.83	0.5	N/A
2	ZDB-GENE-050417-158	unc45a	0.83	0.49	N/A
1	ZDB-GENE-001212-1	atp1a1	0.83	0.47	N/A
1	ZDB-GENE-030131-6223	sufu	0.83	0.47	N/A
1	ZDB-GENE-980526-373	gdf6a	0.83	0.47	N/A
2	ZDB-GENE-020712-1	mpp5a	0.83	0.46	N/A
2	ZDB-GENE-000329-5	notch3	0.83	0.44	N/A
2	ZDB-GENE-990415-9	acvr1l	0.83	0.44	N/A
2	ZDB-GENE-980526-373	gdf6a	0.83	0.42	N/A
1	ZDB-GENE-000208-25	bmp7a	0.83	0.39	N/A
1	ZDB-GENE-120119-1	kiaa0586	0.83	0.39	N/A
2	ZDB-GENE-120119-1	kiaa0586	0.83	0.39	N/A
2	ZDB-GENE-040426-933	tab2	0.83	0.37	N/A
2	ZDB-GENE-070410-32	adrb2b	0.83	0.37	N/A
1	ZDB-GENE-020419-2	rpl35	0.83	0.36	N/A
1	ZDB-GENE-030131-8494	rps3	0.83	0.36	N/A
1	ZDB-GENE-030131-8663	rplp1	0.83	0.36	N/A
1	ZDB-GENE-040718-190	rpl35a	0.83	0.36	N/A
1	ZDB-GENE-070117-1715	unm_t31218	0.83	0.36	N/A
1	ZDB-GENE-070117-2063	fll	0.83	0.34	N/A
1	ZDB-GENE-070117-167	unm_tt279c	0.83	0.29	N/A
1	ZDB-GENE-070117-2026	dbl	0.83	0.28	N/A
1	ZDB-GENE-070117-2066	flr	0.83	0.28	N/A
1	ZDB-GENE-070117-2162	wlk	0.83	0.28	N/A
1	ZDB-GENE-070117-2247	pap	0.83	0.25	N/A
4	ZDB-GENE-030131-2908	cyp26b1	0.81	0.61	1
4	ZDB-GENE-030715-1	fgf10a	0.81	0.81	3
2	ZDB-GENE-001103-2	sox9b	0.81	0.73	3
1	ZDB-GENE-040426-2850	med25	0.81	0.81	N/A
1	ZDB-GENE-990415-208	pdgfra	0.81	0.81	N/A
2	ZDB-GENE-040426-2850	med25	0.81	0.81	N/A
2	ZDB-GENE-061013-95	hdac4	0.81	0.81	N/A
4	ZDB-GENE-040426-2850	med25	0.81	0.81	N/A
4	ZDB-GENE-061013-95	hdac4	0.81	0.81	N/A
2	ZDB-GENE-990714-26	lef1	0.81	0.7	N/A
4	ZDB-GENE-050522-28	barx1	0.81	0.7	N/A
1	ZDB-GENE-021115-2	trpm7	0.81	0.69	N/A
1	ZDB-GENE-070912-179	chd7	0.81	0.69	N/A
2	ZDB-GENE-030131-3127	chsy1	0.81	0.69	N/A
1	ZDB-GENE-050522-28	barx1	0.81	0.64	N/A
4	ZDB-GENE-021115-2	trpm7	0.81	0.61	N/A
4	ZDB-GENE-070912-274	col8a1a	0.81	0.61	N/A
2	ZDB-GENE-011010-3	aldh1a2	0.81	0.55	N/A
2	ZDB-GENE-980526-253	mef2ca	0.81	0.52	N/A
4	ZDB-GENE-000920-1	edn1	0.81	0.52	N/A
4	ZDB-GENE-030616-594	plcb3	0.81	0.52	N/A
4	ZDB-GENE-980526-253	mef2ca	0.81	0.52	N/A
1	ZDB-GENE-030805-5	tbx1	0.81	0.49	N/A
1	ZDB-GENE-040426-2649	sec13	0.81	0.47	N/A
1	ZDB-GENE-041014-1	met	0.81	0.39	N/A
1	ZDB-GENE-080220-52	shrprbck1r	0.81	0.39	N/A
2	ZDB-GENE-030901-2	mmp14b	0.79	0.79	N/A
2	ZDB-GENE-070117-1910	unm_t31259	0.79	0.79	N/A
2	ZDB-GENE-071119-2	nes	0.79	0.71	N/A
2	ZDB-GENE-080107-2	lifrb	0.79	0.71	N/A
2	ZDB-GENE-980526-526	wnt1	0.79	0.71	N/A
4	ZDB-GENE-080107-2	lifrb	0.79	0.71	N/A
4	ZDB-GENE-980526-526	wnt1	0.79	0.71	N/A
2	ZDB-GENE-020919-3	unc45b	0.79	0.68	N/A
2	ZDB-GENE-011212-6	tfap2a	0.79	0.59	N/A
1	ZDB-GENE-021115-7	plk1	0.79	0.57	N/A
1	ZDB-GENE-040426-2764	hinfp	0.79	0.57	N/A
1	ZDB-GENE-080318-7	unm_b1182	0.79	0.57	N/A
1	ZDB-GENE-990415-30	alcama	0.79	0.57	N/A
1	ZDB-GENE-990714-11	fsta	0.79	0.57	N/A
4	ZDB-GENE-990715-10	skib	0.79	0.52	N/A
2	ZDB-GENE-011207-1	sox10	0.79	0.5	N/A
2	ZDB-GENE-030710-1	rtn4a	0.79	0.5	N/A
2	ZDB-GENE-031118-121	erbb2	0.79	0.5	N/A
2	ZDB-GENE-040310-1	rtn4r	0.79	0.5	N/A
2	ZDB-GENE-050107-1	erbb3b	0.79	0.5	N/A
2	ZDB-GENE-990712-18	eya1	0.79	0.5	N/A
1	ZDB-GENE-070117-2069	ant	0.79	0.47	N/A
2	ZDB-GENE-020122-1	meis1	0.79	0.45	N/A
4	ZDB-GENE-070117-2105	apa	0.79	0.45	N/A
4	ZDB-GENE-070117-2145	kim	0.79	0.45	N/A
4	ZDB-GENE-070117-2317	rix	0.79	0.45	N/A
1	ZDB-GENE-040427-2	gdf11	0.79	0.36	N/A
1	ZDB-GENE-070117-1894	unm_t31148	0.79	0.36	N/A
2	ZDB-GENE-040427-2	gdf11	0.79	0.36	N/A
2	ZDB-GENE-070117-1894	unm_t31148	0.79	0.36	N/A
1	ZDB-GENE-030131-2887	polr3b	0.79	0.33	N/A
1	ZDB-GENE-991110-8	tcf7l2	0.79	0.28	N/A
1	ZDB-GENE-070427-5	gpa	0.79	0.24	N/A
2	ZDB-GENE-070117-1499	unm_t30458	0.77	0.7	N/A
2	ZDB-GENE-980526-549	acvr2b	0.77	0.7	N/A
4	ZDB-GENE-021031-5	smoc2	0.77	0.7	N/A
4	ZDB-GENE-050107-6	eda	0.77	0.7	N/A
4	ZDB-GENE-070117-2062	edar	0.77	0.7	N/A
4	ZDB-GENE-980526-227	acvr2aa	0.77	0.7	N/A
1	ZDB-GENE-070117-142	unm_tc233b	0.77	0.69	N/A
1	ZDB-GENE-070117-193	unm_tm79c	0.77	0.69	N/A
1	ZDB-GENE-070117-2217	mur	0.77	0.69	N/A
1	ZDB-GENE-070117-428	unm_tw17a	0.77	0.69	N/A
1	ZDB-GENE-070117-542	unm_tc234e	0.77	0.69	N/A
1	ZDB-GENE-071126-1	lrrn1	0.77	0.69	N/A
1	ZDB-GENE-980526-549	acvr2b	0.77	0.69	N/A
2	ZDB-GENE-011026-1	sox32	0.77	0.69	N/A
1	ZDB-GENE-980526-399	pax9	0.77	0.68	N/A
1	ZDB-GENE-050107-6	eda	0.77	0.64	N/A
1	ZDB-GENE-070117-1499	unm_t30458	0.77	0.64	N/A
1	ZDB-GENE-070117-2062	edar	0.77	0.64	N/A
1	ZDB-GENE-990714-26	lef1	0.77	0.64	N/A
2	ZDB-GENE-040724-125	fam20b	0.77	0.5	N/A
2	ZDB-GENE-111017-2	xylt1	0.77	0.5	N/A
2	ZDB-GENE-020123-2	s1pr2	0.77	0.49	N/A
2	ZDB-GENE-980526-87	wnt5b	0.77	0.49	N/A
1	ZDB-GENE-030828-5	hes6	0.77	0.42	N/A
1	ZDB-GENE-020117-2	gbx1	0.77	0.36	N/A
1	ZDB-GENE-030131-355	rprd1b	0.77	0.22	N/A
1	ZDB-GENE-030131-9975	dact2	0.77	0.22	N/A
1	ZDB-GENE-070117-1091	unm_t30705	0.77	0.22	N/A
1	ZDB-GENE-070117-1092	unm_t30706	0.77	0.22	N/A
1	ZDB-GENE-070117-1093	unm_t30643	0.77	0.22	N/A
1	ZDB-GENE-070117-1095	unm_t30588	0.77	0.22	N/A
1	ZDB-GENE-070117-1097	unm_t30544	0.77	0.22	N/A
1	ZDB-GENE-070117-1448	unm_t30644	0.77	0.22	N/A
1	ZDB-GENE-070306-8	unm_b1035	0.77	0.22	N/A
1	ZDB-GENE-001103-2	sox9b	0.75	0.7	3
4	ZDB-GENE-001103-2	sox9b	0.75	0.54	3
4	ZDB-GENE-030131-9102	col1a1a	0.75	0.5	3
2	ZDB-GENE-020418-2	sec61a1	0.75	0.73	N/A
2	ZDB-GENE-020419-3	b3gat3	0.75	0.73	N/A
2	ZDB-GENE-030131-333	wdr82	0.75	0.73	N/A
2	ZDB-GENE-050213-1	slc35b2	0.75	0.73	N/A
2	ZDB-GENE-070117-2502	bum	0.75	0.73	N/A
2	ZDB-GENE-980526-89	smo	0.75	0.73	N/A
1	ZDB-GENE-030723-4	tgfb3	0.75	0.7	N/A
1	ZDB-GENE-041014-357	gpr126	0.75	0.69	N/A
1	ZDB-GENE-060818-1	bmp1a	0.75	0.69	N/A
1	ZDB-GENE-070117-2396	stp	0.75	0.69	N/A
1	ZDB-GENE-980526-227	acvr2aa	0.75	0.69	N/A
1	ZDB-GENE-020419-37	uxs1	0.75	0.68	N/A
2	ZDB-GENE-020419-37	uxs1	0.75	0.68	N/A
2	ZDB-GENE-070117-1249	unm_t30539	0.75	0.68	N/A
1	ZDB-GENE-990706-8	gli2a	0.75	0.64	N/A
1	ZDB-GENE-011212-6	tfap2a	0.75	0.59	N/A
1	ZDB-GENE-070117-2105	apa	0.75	0.59	N/A
1	ZDB-GENE-070117-2145	kim	0.75	0.59	N/A
1	ZDB-GENE-070117-2173	lit	0.75	0.59	N/A
1	ZDB-GENE-070117-2317	rix	0.75	0.59	N/A
1	ZDB-GENE-040526-1	dzip1	0.75	0.57	N/A
1	ZDB-GENE-990603-12	wnt11	0.75	0.57	N/A
2	ZDB-GENE-030131-6349	nolc1	0.75	0.55	N/A
4	ZDB-GENE-020104-1	hnf1ba	0.75	0.54	N/A
4	ZDB-GENE-040426-1469	onecut1	0.75	0.54	N/A
4	ZDB-GENE-040426-1960	atp6ap2	0.75	0.54	N/A
4	ZDB-GENE-040718-145	cldn15lb	0.75	0.54	N/A
4	ZDB-GENE-050208-744	onecut3	0.75	0.54	N/A
4	ZDB-GENE-080717-1	zeb2b	0.75	0.54	N/A
4	ZDB-GENE-120203-2	cay	0.75	0.54	N/A
1	ZDB-GENE-980526-87	wnt5b	0.75	0.53	N/A
1	ZDB-GENE-980526-253	mef2ca	0.75	0.52	N/A
4	ZDB-GENE-050213-1	slc35b2	0.75	0.52	N/A
1	ZDB-GENE-070117-2179	lof	0.75	0.5	N/A
2	ZDB-GENE-020731-6	fmr1	0.75	0.5	N/A
2	ZDB-GENE-050320-92	cdh6	0.75	0.5	N/A
4	ZDB-GENE-070117-2179	lof	0.75	0.5	N/A
2	ZDB-GENE-030116-2	esr2a	0.75	0.49	N/A
2	ZDB-GENE-070117-2068	flc	0.75	0.49	N/A
2	ZDB-GENE-070117-2099	gro	0.75	0.49	N/A
2	ZDB-GENE-070117-2254	pel	0.75	0.49	N/A
1	ZDB-GENE-980526-312	msxe	0.75	0.48	N/A
2	ZDB-GENE-040827-2	lrrc6	0.75	0.46	N/A
1	ZDB-GENE-080513-1	mkxa	0.75	0.45	N/A
2	ZDB-GENE-020129-1	cacna1c	0.75	0.45	N/A
2	ZDB-GENE-040712-6	ccm2	0.75	0.45	N/A
4	ZDB-GENE-030131-555	krit1	0.75	0.45	N/A
4	ZDB-GENE-040712-6	ccm2	0.75	0.45	N/A
4	ZDB-GENE-040714-1	heg	0.75	0.45	N/A
4	ZDB-GENE-090112-3	fbn2b	0.75	0.45	N/A
1	ZDB-GENE-040426-1246	def6a	0.75	0.43	N/A
2	ZDB-GENE-030131-5427	ofd1	0.75	0.43	N/A
1	ZDB-GENE-980526-406	otx2	0.75	0.42	N/A
1	ZDB-GENE-990415-131	htt	0.75	0.42	N/A
1	ZDB-GENE-070117-1062	unm_t30508	0.75	0.39	N/A
1	ZDB-GENE-120403-1	unm_dhi862	0.75	0.39	N/A
2	ZDB-GENE-070117-1138	unm_t30748	0.75	0.39	N/A
2	ZDB-GENE-070117-1139	unm_t30604	0.75	0.39	N/A
2	ZDB-GENE-070117-1199	unm_t30442	0.75	0.39	N/A
2	ZDB-GENE-070117-1200	unm_t30361	0.75	0.39	N/A
2	ZDB-GENE-070117-1201	unm_t30362	0.75	0.39	N/A
2	ZDB-GENE-070117-1202	unm_t30441	0.75	0.39	N/A
2	ZDB-GENE-070117-1203	unm_t30611	0.75	0.39	N/A
4	ZDB-GENE-070117-1138	unm_t30748	0.75	0.39	N/A
4	ZDB-GENE-070117-1139	unm_t30604	0.75	0.39	N/A
4	ZDB-GENE-070117-1199	unm_t30442	0.75	0.39	N/A
4	ZDB-GENE-070117-1200	unm_t30361	0.75	0.39	N/A
4	ZDB-GENE-070117-1201	unm_t30362	0.75	0.39	N/A
4	ZDB-GENE-070117-1202	unm_t30441	0.75	0.39	N/A
4	ZDB-GENE-070117-1203	unm_t30611	0.75	0.39	N/A
1	ZDB-GENE-040426-1828	plxnd1	0.75	0.36	N/A
1	ZDB-GENE-121114-5	unm_t32235	0.75	0.36	N/A
1	ZDB-GENE-990415-256	ndr1	0.75	0.28	N/A
1	ZDB-GENE-031002-2	pld1a	0.75	0.24	N/A
1	ZDB-GENE-030131-5935	pho	0.75	0.22	N/A
1	ZDB-GENE-030131-9662	rap1b	0.75	0.22	N/A
2	ZDB-GENE-080317-5	int	0.75	0.13	N/A
1	ZDB-GENE-980526-561	myod1	0.74	0.35	3
2	ZDB-GENE-030723-4	tgfb3	0.74	0.73	N/A
1	ZDB-GENE-021003-1	acvrl1	0.74	0.71	N/A
1	ZDB-GENE-030131-5243	rnf2	0.74	0.7	N/A
4	ZDB-GENE-070117-1058	unm_t301394	0.74	0.7	N/A
4	ZDB-GENE-980526-549	acvr2b	0.74	0.7	N/A
1	ZDB-GENE-990714-16	ahr2	0.74	0.69	N/A
1	ZDB-GENE-020919-3	unc45b	0.74	0.68	N/A
1	ZDB-GENE-030116-2	esr2a	0.74	0.57	N/A
2	ZDB-GENE-980526-196	ptch1	0.74	0.55	N/A
1	ZDB-GENE-000626-1	tnnt2a	0.74	0.54	N/A
1	ZDB-GENE-030131-6349	nolc1	0.74	0.53	N/A
2	ZDB-GENE-070117-1384	unm_t30620	0.74	0.52	N/A
4	ZDB-GENE-980526-196	ptch1	0.74	0.52	N/A
1	ZDB-GENE-070117-2107	ham	0.74	0.5	N/A
2	ZDB-GENE-030131-4827	hhip	0.74	0.5	N/A
4	ZDB-GENE-030131-4827	hhip	0.74	0.5	N/A
1	ZDB-GENE-050417-158	unc45a	0.74	0.49	N/A
2	ZDB-GENE-031116-61	cxcr7b	0.74	0.49	N/A
2	ZDB-GENE-070117-2107	ham	0.74	0.49	N/A
1	ZDB-GENE-000201-18	pbx4	0.74	0.45	N/A
2	ZDB-GENE-040816-1	cdh5	0.74	0.45	N/A
4	ZDB-GENE-010131-8	ctsd	0.74	0.45	N/A
4	ZDB-GENE-020129-1	cacna1c	0.74	0.45	N/A
4	ZDB-GENE-030826-1	birc5a	0.74	0.45	N/A
4	ZDB-GENE-050419-238	zfpm1	0.74	0.45	N/A
4	ZDB-GENE-050616-5	cx36.7	0.74	0.45	N/A
4	ZDB-GENE-980526-44	ptch2	0.74	0.45	N/A
2	ZDB-GENE-040808-67	kras	0.74	0.43	N/A
4	ZDB-GENE-030131-4909	mbtps1	0.74	0.43	N/A
4	ZDB-GENE-030131-6223	sufu	0.74	0.4	N/A
1	ZDB-GENE-030318-1	cxcl12a	0.74	0.39	N/A
2	ZDB-GENE-030131-5911	ptpn11a	0.74	0.39	N/A
2	ZDB-GENE-070412-4	fkrp	0.74	0.37	N/A
1	ZDB-GENE-030131-9878	noc3l	0.74	0.35	N/A
1	ZDB-GENE-040426-2308	six1b	0.74	0.35	N/A
1	ZDB-GENE-980526-265	myog	0.74	0.35	N/A
1	ZDB-GENE-980526-52	pax3a	0.74	0.35	N/A
1	ZDB-GENE-030721-1	cxcl12b	0.74	0.34	N/A
2	ZDB-GENE-990415-41	raf1a	0.74	0.34	N/A
1	ZDB-GENE-980526-340	gata5	0.74	0.33	N/A
1	ZDB-GENE-000210-19	rbp4	0.74	0.27	N/A
1	ZDB-GENE-020102-1	cxcr4a	0.74	0.27	N/A
2	ZDB-GENE-040426-1430	mb	0.74	0.26	N/A
2	ZDB-GENE-060825-242	lmo7b	0.74	0.26	N/A
4	ZDB-GENE-010702-1	lmo4a	0.74	0.24	N/A
4	ZDB-GENE-050119-2	lrp2a	0.74	0.17	N/A
4	ZDB-GENE-070117-1329	unm_t30248	0.74	0.17	N/A
4	ZDB-GENE-070117-904	unm_t30759	0.74	0.17	N/A
4	ZDB-GENE-070117-910	unm_t30509	0.74	0.17	N/A
4	ZDB-GENE-070117-911	unm_t30613	0.74	0.17	N/A
1	ZDB-GENE-980528-2059	bmp4	0.73	0.47	3
1	ZDB-GENE-060825-97	wnt9a	0.73	0.53	4
2	ZDB-GENE-030131-5243	rnf2	0.73	0.73	N/A
1	ZDB-GENE-020419-3	b3gat3	0.73	0.7	N/A
1	ZDB-GENE-050213-1	slc35b2	0.73	0.7	N/A
2	ZDB-GENE-030318-1	cxcl12a	0.73	0.63	N/A
2	ZDB-GENE-040709-2	cpsf1	0.73	0.63	N/A
2	ZDB-GENE-041124-2	extl3	0.73	0.63	N/A
1	ZDB-GENE-040426-2863	faf1	0.73	0.53	N/A
1	ZDB-GENE-041114-11	colec11	0.73	0.53	N/A
2	ZDB-GENE-050119-2	lrp2a	0.73	0.43	N/A
2	ZDB-GENE-990714-11	fsta	0.73	0.42	N/A
1	ZDB-GENE-031112-7	apc	0.73	0.39	N/A
2	ZDB-GENE-010702-1	lmo4a	0.73	0.39	N/A
2	ZDB-GENE-060503-723	ccdc40	0.73	0.39	N/A
2	ZDB-GENE-020423-1	rpl36a	0.73	0.38	N/A
1	ZDB-GENE-040426-1244	rars2	0.73	0.36	N/A
1	ZDB-GENE-040426-2795	rp2	0.73	0.36	N/A
1	ZDB-GENE-050417-289	cops6	0.73	0.36	N/A
1	ZDB-GENE-050522-454	tsen54	0.73	0.36	N/A
1	ZDB-GENE-990415-8	pax2a	0.73	0.36	N/A
2	ZDB-GENE-031114-4	dnaaf1	0.73	0.34	N/A
4	ZDB-GENE-031112-7	apc	0.73	0.31	N/A
1	ZDB-GENE-990415-75	flh	0.73	0.28	N/A
2	ZDB-GENE-040827-4	pkd2	0.73	0.28	N/A
2	ZDB-GENE-070117-2066	flr	0.73	0.28	N/A
2	ZDB-GENE-070117-512	grb	0.73	0.28	N/A
2	ZDB-GENE-040622-5	rps29	0.73	0.26	N/A
1	ZDB-GENE-080724-2	cyfip2	0.73	0.23	N/A
2	ZDB-GENE-070117-1329	unm_t30248	0.73	0.18	N/A
2	ZDB-GENE-070117-904	unm_t30759	0.73	0.18	N/A
2	ZDB-GENE-070117-910	unm_t30509	0.73	0.18	N/A
2	ZDB-GENE-070117-911	unm_t30613	0.73	0.18	N/A
1	ZDB-GENE-000511-1	hand2	0.71	0.59	3
1	ZDB-GENE-070613-1	plxna3	0.71	0.71	N/A
1	ZDB-GENE-080107-2	lifrb	0.71	0.71	N/A
1	ZDB-GENE-980526-526	wnt1	0.71	0.71	N/A
1	ZDB-GENE-991209-3	sema3aa	0.71	0.71	N/A
2	ZDB-GENE-070613-1	plxna3	0.71	0.71	N/A
2	ZDB-GENE-991209-3	sema3aa	0.71	0.71	N/A
4	ZDB-GENE-070613-1	plxna3	0.71	0.71	N/A
4	ZDB-GENE-991209-3	sema3aa	0.71	0.71	N/A
2	ZDB-GENE-021031-5	smoc2	0.71	0.7	N/A
